name,title,start,end
AIM410,Machine learning at the edge with Amazon SageMaker,Mon Nov 29 2021 20:30:00 GMT+0100 (Central European Standard Time),Mon Nov 29 2021 21:30:00 GMT+0100 (Central European Standard Time)
SVS318,Adding location capability to your serverless application,Mon Nov 29 2021 22:00:00 GMT+0100 (Central European Standard Time),Mon Nov 29 2021 23:00:00 GMT+0100 (Central European Standard Time)
BOA201,15 years of AWS with Jeff Barr,Tue Nov 30 2021 00:15:00 GMT+0100 (Central European Standard Time),Tue Nov 30 2021 01:15:00 GMT+0100 (Central European Standard Time)
AIM416,Using Hugging Face models on Amazon SageMaker,Tue Nov 30 2021 01:45:00 GMT+0100 (Central European Standard Time),Tue Nov 30 2021 04:00:00 GMT+0100 (Central European Standard Time)
GPS401,Innovator serverless workshop,Tue Nov 30 2021 04:00:00 GMT+0100 (Central European Standard Time),Tue Nov 30 2021 06:15:00 GMT+0100 (Central European Standard Time)
BSI301-R1,Advanced deployment options at scale with Amazon QuickSight [REPEAT],Tue Nov 30 2021 20:00:00 GMT+0100 (Central European Standard Time),Tue Nov 30 2021 21:00:00 GMT+0100 (Central European Standard Time)
DOP403-R1,Maximize value with AWS CloudFormation advanced features [REPEAT],Tue Nov 30 2021 21:30:00 GMT+0100 (Central European Standard Time),Tue Nov 30 2021 22:30:00 GMT+0100 (Central European Standard Time)
AIM415,Real-time recommendations using Amazon SageMaker Feature Store,Tue Nov 30 2021 23:45:00 GMT+0100 (Central European Standard Time),Wed Dec 01 2021 02:00:00 GMT+0100 (Central European Standard Time)
AIM402,Develop your ML project with Amazon SageMaker,Wed Dec 01 2021 02:00:00 GMT+0100 (Central European Standard Time),Wed Dec 01 2021 04:15:00 GMT+0100 (Central European Standard Time)
SVS314,Becoming an expert on streaming data architectures with AWS Lambda,Wed Dec 01 2021 04:15:00 GMT+0100 (Central European Standard Time),Wed Dec 01 2021 05:15:00 GMT+0100 (Central European Standard Time)
ARC405,Inside a working serverless SaaS reference solution,Wed Dec 01 2021 18:15:00 GMT+0100 (Central European Standard Time),Wed Dec 01 2021 19:15:00 GMT+0100 (Central European Standard Time)
ARC401-R2,Serverless SaaS deep dive: Inside a multi-tenant serverless solution [REPEAT],Wed Dec 01 2021 20:30:00 GMT+0100 (Central European Standard Time),Wed Dec 01 2021 21:30:00 GMT+0100 (Central European Standard Time)
SVS402,Best practices of advanced serverless developers,Wed Dec 01 2021 22:00:00 GMT+0100 (Central European Standard Time),Wed Dec 01 2021 23:00:00 GMT+0100 (Central European Standard Time)
AIM401-R2,Create automate and manage end-to-end ML workflows at scale [REPEAT],Wed Dec 01 2021 23:30:00 GMT+0100 (Central European Standard Time),Thu Dec 02 2021 01:45:00 GMT+0100 (Central European Standard Time)
SVS401-R2,AWS Lambda function performance tuning [REPEAT],Thu Dec 02 2021 01:45:00 GMT+0100 (Central European Standard Time),Thu Dec 02 2021 02:45:00 GMT+0100 (Central European Standard Time)
IOT401-R1,Instrumenting Industry 4.0 with AWS IoT services [REPEAT],Thu Dec 02 2021 03:15:00 GMT+0100 (Central European Standard Time),Thu Dec 02 2021 05:30:00 GMT+0100 (Central European Standard Time)
ROB402,Building AI-enabled robots for pick-and-place operations,Thu Dec 02 2021 20:30:00 GMT+0100 (Central European Standard Time),Thu Dec 02 2021 22:45:00 GMT+0100 (Central European Standard Time)
AIM411-R2,Improve ML productivity through better feature engineering [REPEAT],Thu Dec 02 2021 23:30:00 GMT+0100 (Central European Standard Time),Fri Dec 03 2021 00:30:00 GMT+0100 (Central European Standard Time)
SVS310,Architecting your serverless applications for hyperscale,Fri Dec 03 2021 01:00:00 GMT+0100 (Central European Standard Time),Fri Dec 03 2021 02:00:00 GMT+0100 (Central European Standard Time)
CMP314,Accelerate innovation with AWS ML infrastructure services,Fri Dec 03 2021 17:30:00 GMT+0100 (Central European Standard Time),Fri Dec 03 2021 18:30:00 GMT+0100 (Central European Standard Time)
IOT317,Building digital twins using AWS services,Fri Dec 03 2021 20:30:00 GMT+0100 (Central European Standard Time),Fri Dec 03 2021 21:30:00 GMT+0100 (Central European Standard Time)
